date,gold
21/02/2022,1895
22/02/2022,1900
23/02/2022,1905
24/02/2022,1936
25/02/2022,1885
28/02/2022,1910
01/03/2022,1922
02/03/2022,1929
03/03/2022,1930
04/03/2022,1945
07/03/2022,1981
08/03/2022,2039
09/03/2022,1989
10/03/2022,1997
11/03/2022,1979
14/03/2022,1954
15/03/2022,1914
16/03/2022,1913
17/03/2022,1950
18/03/2022,1936
21/03/2022,1935
22/03/2022,1915
23/03/2022,1932
24/03/2022,1965
25/03/2022,1954
28/03/2022,1937
29/03/2022,1910
30/03/2022,1934
31/03/2022,1942
01/04/2022,1929
04/04/2022,1930
05/04/2022,1944
06/04/2022,1930
07/04/2022,1932
08/04/2022,1941
11/04/2022,1952
12/04/2022,1961
13/04/2022,1977
14/04/2022,1963
15/04/2022,1963
18/04/2022,1963
19/04/2022,1964
20/04/2022,1950
21/04/2022,1944
22/04/2022,1942
25/04/2022,1895
26/04/2022,1905
27/04/2022,1886
28/04/2022,1889
29/04/2022,1911
02/05/2022,1911
03/05/2022,1870
04/05/2022,1864
05/05/2022,1892
06/05/2022,1882
09/05/2022,1861
10/05/2022,1857
11/05/2022,1852
12/05/2022,1837
13/05/2022,1812
16/05/2022,1810
17/05/2022,1825
18/05/2022,1811
19/05/2022,1844
20/05/2022,1834
23/05/2022,1856
24/05/2022,1867
25/05/2022,1847
26/05/2022,1848
27/05/2022,1852
30/05/2022,1855
31/05/2022,1839
01/06/2022,1845
02/06/2022,1845
03/06/2022,1845
06/06/2022,1847
07/06/2022,1850
08/06/2022,1853
09/06/2022,1845
10/06/2022,1830
13/06/2022,1831
14/06/2022,1818
15/06/2022,1824
16/06/2022,1827
17/06/2022,1842
20/06/2022,1837
21/06/2022,1840
22/06/2022,1842
23/06/2022,1842
24/06/2022,1826
27/06/2022,1826
28/06/2022,1819
29/06/2022,1818
30/06/2022,1817
01/07/2022,1798
04/07/2022,1808
05/07/2022,1772
06/07/2022,1754
07/07/2022,1748
08/07/2022,1738
11/07/2022,1740
12/07/2022,1731
13/07/2022,1725
14/07/2022,1701
15/07/2022,1706
18/07/2022,1719
19/07/2022,1713
20/07/2022,1709
21/07/2022,1705
22/07/2022,1737
25/07/2022,1719
26/07/2022,1720
27/07/2022,1714
28/07/2022,1754
29/07/2022,1753
01/08/2022,1772
02/08/2022,1780
03/08/2022,1761
04/08/2022,1783
05/08/2022,1773
08/08/2022,1784
09/08/2022,1795
10/08/2022,1795
11/08/2022,1797
12/08/2022,1792
15/08/2022,1777
16/08/2022,1775
17/08/2022,1767
18/08/2022,1766
19/08/2022,1751
22/08/2022,1733
23/08/2022,1747
24/08/2022,1746
25/08/2022,1754
26/08/2022,1751
29/08/2022,1751
30/08/2022,1730
31/08/2022,1716
01/09/2022,1694
02/09/2022,1713
05/09/2022,1711
06/09/2022,1703
07/09/2022,1703
08/09/2022,1709
09/09/2022,1713
12/09/2022,1726
13/09/2022,1705
14/09/2022,1704
15/09/2022,1689
16/09/2022,1665
19/09/2022,1665
20/09/2022,1664
21/09/2022,1672
22/09/2022,1672
23/09/2022,1644
26/09/2022,1643
27/09/2022,1634
28/09/2022,1652
29/09/2022,1655
30/09/2022,1672
03/10/2022,1668
04/10/2022,1715
05/10/2022,1701
06/10/2022,1714
07/10/2022,1696
10/10/2022,1677
11/10/2022,1665
12/10/2022,1671
13/10/2022,1648
14/10/2022,1649
17/10/2022,1665
18/10/2022,1653
19/10/2022,1632
20/10/2022,1635
21/10/2022,1643
24/10/2022,1649
25/10/2022,1659
26/10/2022,1667
27/10/2022,1660
28/10/2022,1648
31/10/2022,1639
01/11/2022,1645
02/11/2022,1650
03/11/2022,1629
04/11/2022,1674
07/11/2022,1679
08/11/2022,1679
09/11/2022,1715
10/11/2022,1745
11/11/2022,1759
14/11/2022,1769
15/11/2022,1771
16/11/2022,1773
17/11/2022,1759
18/11/2022,1752
21/11/2022,1740
22/11/2022,1743
23/11/2022,1740
24/11/2022,1755
25/11/2022,1752
28/11/2022,1747
29/11/2022,1753
30/11/2022,1754
01/12/2022,1803
02/12/2022,1785
